,TEAM_ID,TEAM_ABBREVIATION,SEASON,PTS_ave,PTS_home_ave,PTS_away_ave,PTS_allowed_ave,PTS_home_allowed_ave,PTS_away_allowed_ave,PTS_tot,PTS_home_tot,PTS_away_tot,PTS_allowed_tot,PTS_home_allowed_tot,PTS_away_allowed_tot,AST_ave,AST_home_ave,AST_away_ave,AST_allowed_ave,AST_home_allowed_ave,AST_away_allowed_ave,AST_tot,AST_home_tot,AST_away_tot,AST_allowed_tot,AST_home_allowed_tot,AST_away_allowed_tot,REB_ave,REB_home_ave,REB_away_ave,REB_allowed_ave,REB_home_allowed_ave,REB_away_allowed_ave,REB_tot,REB_home_tot,REB_away_tot,REB_allowed_tot,REB_home_allowed_tot,REB_away_allowed_tot,WINS,LOSSES,WIN_PCT,WINS_HOME,LOSSES_HOME,WIN_PCT_HOME,WINS_AWAY,LOSSES_AWAY,WIN_PCT_AWAY
0,1610612752.0,NYK,2016.0,104.34146341463415,104.8780487804878,103.8048780487805,108.01219512195122,106.46341463414635,109.5609756097561,8556.0,4300.0,4256.0,8857.0,4365.0,4492.0,21.78048780487805,21.5609756097561,22.0,21.78048780487805,20.902439024390244,22.658536585365855,1786.0,884.0,902.0,1786.0,857.0,929.0,45.19512195121951,44.829268292682926,45.5609756097561,44.73170731707317,43.46341463414634,46.0,3706.0,1838.0,1868.0,3668.0,1782.0,1886.0,31.0,51.0,0.3780487804878049,19.0,22.0,0.4634146341463415,12.0,29.0,0.2926829268292683
0,1610612753.0,ORL,2016.0,101.07317073170732,100.21951219512195,101.92682926829268,107.64634146341463,103.8048780487805,111.48780487804878,8288.0,4109.0,4179.0,8827.0,4256.0,4571.0,22.195121951219512,21.5609756097561,22.829268292682926,23.609756097560975,22.0,25.21951219512195,1820.0,884.0,936.0,1936.0,902.0,1034.0,43.18292682926829,44.26829268292683,42.09756097560975,45.52439024390244,45.707317073170735,45.34146341463415,3541.0,1815.0,1726.0,3733.0,1874.0,1859.0,29.0,53.0,0.35365853658536583,16.0,25.0,0.3902439024390244,13.0,28.0,0.3170731707317073
0,1610612754.0,IND,2016.0,105.09756097560975,106.90243902439025,103.29268292682927,105.3170731707317,101.6829268292683,108.95121951219512,8618.0,4383.0,4235.0,8636.0,4169.0,4467.0,22.48780487804878,21.73170731707317,23.24390243902439,22.341463414634145,19.951219512195124,24.73170731707317,1844.0,891.0,953.0,1832.0,818.0,1014.0,42.0,42.41463414634146,41.58536585365854,44.26829268292683,43.8780487804878,44.65853658536585,3444.0,1739.0,1705.0,3630.0,1799.0,1831.0,42.0,40.0,0.5121951219512195,29.0,12.0,0.7073170731707317,13.0,28.0,0.3170731707317073
0,1610612755.0,PHI,2016.0,102.4390243902439,102.39024390243902,102.48780487804878,108.13414634146342,105.95121951219512,110.3170731707317,8400.0,4198.0,4202.0,8867.0,4344.0,4523.0,23.76829268292683,24.804878048780488,22.73170731707317,22.670731707317074,22.29268292682927,23.048780487804876,1949.0,1017.0,932.0,1859.0,914.0,945.0,42.84146341463415,43.31707317073171,42.36585365853659,44.97560975609756,44.21951219512195,45.73170731707317,3513.0,1776.0,1737.0,3688.0,1813.0,1875.0,28.0,54.0,0.34146341463414637,17.0,24.0,0.4146341463414634,11.0,30.0,0.2682926829268293
0,1610612756.0,PHX,2016.0,107.6951219512195,109.6829268292683,105.70731707317073,113.32926829268293,111.92682926829268,114.73170731707317,8831.0,4497.0,4334.0,9293.0,4589.0,4704.0,19.5609756097561,20.024390243902438,19.097560975609756,22.170731707317074,20.536585365853657,23.804878048780488,1604.0,821.0,783.0,1818.0,842.0,976.0,44.97560975609756,46.68292682926829,43.26829268292683,44.048780487804876,43.09756097560975,45.0,3688.0,1914.0,1774.0,3612.0,1767.0,1845.0,24.0,58.0,0.2926829268292683,15.0,26.0,0.36585365853658536,9.0,32.0,0.21951219512195122
0,1610612757.0,POR,2016.0,107.9390243902439,109.92682926829268,105.95121951219512,108.46341463414635,106.8780487804878,110.04878048780488,8851.0,4507.0,4344.0,8894.0,4382.0,4512.0,21.134146341463413,22.073170731707318,20.195121951219512,20.585365853658537,19.146341463414632,22.024390243902438,1733.0,905.0,828.0,1688.0,785.0,903.0,43.65853658536585,43.8780487804878,43.4390243902439,44.0,43.292682926829265,44.707317073170735,3580.0,1799.0,1781.0,3608.0,1775.0,1833.0,41.0,41.0,0.5,25.0,16.0,0.6097560975609756,16.0,25.0,0.3902439024390244
0,1610612758.0,SAC,2016.0,102.8048780487805,105.04878048780488,100.5609756097561,106.6829268292683,106.90243902439025,106.46341463414635,8430.0,4307.0,4123.0,8748.0,4383.0,4365.0,22.48780487804878,22.609756097560975,22.365853658536587,23.670731707317074,22.536585365853657,24.804878048780488,1844.0,927.0,917.0,1941.0,924.0,1017.0,41.0609756097561,40.41463414634146,41.707317073170735,42.86585365853659,41.63414634146341,44.09756097560975,3367.0,1657.0,1710.0,3515.0,1707.0,1808.0,32.0,50.0,0.3902439024390244,17.0,24.0,0.4146341463414634,15.0,26.0,0.36585365853658536
0,1610612759.0,SAS,2016.0,105.32926829268293,105.63414634146342,105.02439024390245,98.13414634146342,97.46341463414635,98.8048780487805,8637.0,4331.0,4306.0,8047.0,3996.0,4051.0,23.829268292682926,25.463414634146343,22.195121951219512,21.426829268292682,22.121951219512194,20.73170731707317,1954.0,1044.0,910.0,1757.0,907.0,850.0,43.8780487804878,43.609756097560975,44.146341463414636,41.46341463414634,41.34146341463415,41.58536585365854,3598.0,1788.0,1810.0,3400.0,1695.0,1705.0,61.0,21.0,0.7439024390243902,31.0,10.0,0.7560975609756098,30.0,11.0,0.7317073170731707
0,1610612760.0,OKC,2016.0,106.59756097560975,109.53658536585365,103.65853658536585,105.84146341463415,103.58536585365853,108.09756097560975,8741.0,4491.0,4250.0,8679.0,4247.0,4432.0,20.98780487804878,21.70731707317073,20.26829268292683,21.4390243902439,19.658536585365855,23.21951219512195,1721.0,890.0,831.0,1758.0,806.0,952.0,46.6219512195122,46.75609756097561,46.48780487804878,40.646341463414636,40.048780487804876,41.24390243902439,3823.0,1917.0,1906.0,3333.0,1642.0,1691.0,47.0,35.0,0.573170731707317,28.0,13.0,0.6829268292682927,19.0,22.0,0.4634146341463415
0,1610612761.0,TOR,2016.0,106.85365853658537,110.90243902439025,102.8048780487805,102.64634146341463,103.1951219512195,102.09756097560975,8762.0,4547.0,4215.0,8417.0,4231.0,4186.0,18.5,19.24390243902439,17.75609756097561,21.78048780487805,21.341463414634145,22.21951219512195,1517.0,789.0,728.0,1786.0,875.0,911.0,43.25609756097561,44.34146341463415,42.170731707317074,42.073170731707314,40.65853658536585,43.48780487804878,3547.0,1818.0,1729.0,3450.0,1667.0,1783.0,51.0,31.0,0.6219512195121951,28.0,13.0,0.6829268292682927,23.0,18.0,0.5609756097560976
